, URL, Name, isSecure, Sport,
,ehyha.com,East Haven Youth Hockey Association,false,,
,eklc.us,EKLC,false,,
,eliteflagfootballleague.com,Northeast Flag Football League,false,,
,elkharttitans.com,Elkhart Titans Baseball Club,false,Baseball,
,elmhurstbaseball.com,Elmhurst Baseball & Softball League,false,Softball,
,emeraldridgelacrosse.org,Emerald Ridge Lacrosse Club,false,Lacrosse,
,emeraldridgelacrosseclub.org,Emerald Ridge Lacrosse Club,false,Lacrosse,
,every-pitch.org,Stow Maynard Youth Baseball,false,,
,ewsports.com,error opening web page,
,excelhockeycamps.com,Excel Field Hockey,false,Hockey,
,exeteryouthlacrosse.org,Exeter Youth Lacrosse Association,false,Lacrosse,
,expresslax.com,error opening web page,
,extonlittleleague.org,Exton Little League,false,,
,faceoffclubnaples.com,The Faceoff Club of Naples, Inc.,false,,
,fairfaxfallbrawl.com,LaxNOVA Events,false,,
,fairfieldyouthfieldhockey.com,Fairfield Youth Field Hockey,false,,
,fairfieldyouthfootball.com,Fairfield Youth Athletic Association,false,Football,
,fairportlacrosse.com,Fairport Lacrosse,false,Lacrosse,
,falconathleticboosters.com,WHS Falcon Athletic Boosters,false,,
,falconathleticboosters.org,WHS Falcon Athletic Boosters,false,,
,fallenkoalas.com,SIP tests,false,,
,fallonlax.com,Fallon Lacrosse,false,Lacrosse,
,fargosoccer.org,Fargo Soccer Club,false,Soccer,
,farleu.com,error opening web page,
,fastpitchdynamics.com,error opening web page,
,fbl-orlando.com,Filipino Basketball League of Orlando,false,,
,fcblhoops.org,Fairfield County Basketball League,false,Basketball,
,fcdansville.com,FC Dansville,false,Soccer,
,fcfha.com,error opening web page,
,fchslax.com,Forsyth Central High School Lacrosse,false,Lacrosse,
,fcunitedmass.com,Futbol Club United of Massachusetts,false,,
,fcyfl.com,Fairfax County Youth Football League,false,Football,
,fglalax.com,Falcons Girls Lacrosse,false,Lacrosse,
,fhlacrosse.com,Forest Hill Lacrosse,false,,
,findleague.info,error opening web page,
,firehawksadmin.com,Firehawks Lacrosse,false,Lacrosse,
,fishhawkwolfpack.com,Fishhawk Wolfpack,false,,
,floridabraves.com,error opening web page,
,floridagenerals.com,Florida Generals Lacrosse,false,,
,floridalax.com,Florida Lacrosse Association,false,,
,floridanationalteam.com,Florida National Team,false,Lacrosse,
,forthuntlax.org,error opening web page,
,foxlaneyouthlacrosse.com,Fox Lane Youth Lacrosse,false,,
,foxonrecleague.com,Foxon Rec League,false,Baseball,
,fplax.usl.la,Park Youth Lacrosse,false,Lacrosse,
,fraasports.net,Franklin Regional Athletic Association,false,,
,framinghambasketball.com,Framingham Basketball,false,Basketball,
,framinghamsoftball.org,FRAMINGHAM GIRLS FASTPITCH SOFTBALL,false,Softball,
,friendsofbelmontsoccer.org,Friends of Belmont Soccer,false,Soccer,
,friendsofnewcanaanlacrosse.com,Friends of New Canaan Lacrosse,false,,
,friscofury.com,Girls Lacrosse Club of Frisco,false,Lacrosse,
,fvasc.com,Farmington Valley Adult Soccer Club, Inc.,false,,
,fxabowling.org,FXA Co-ed Bowling League,false,Basketball,
,fxadodgeball.org,FXA Dodgeball - Co-ed Adult Dodgeball League,false,Football,
,fxavolleyball.org,FXA Volleyball,false,Basketball,
,fylacrosse.com,Fairfield Youth Lacrosse,false,Lacrosse,
,gallatinvalleylacrosse.org,Bozeman Lacrosse,false,Lacrosse,
,gatewayyouthhockey.org,Gateway Youth Hockey,false,,
,gbhslacrosse.org,Granite Bay High School Lacrosse,false,Lacrosse,
,gburybaseball.com,Glastonbury Amateur Baseball,false,Baseball,
,gburylaxtourney.org,Glastonbury Lacrosse Tournament,false,Lacrosse,
,gdbaseball.org,Groton-Dunstable Youth Baseball,false,,
,gdybl.org,Groton Dunstable Youth Basketball League,true,Basketball,
,gdylax.org,Groton Dunstable Youth Lacrosse League, Inc.,false,,
,gdysc.org,Groton Dunstable Youth Soccer Club,false,Soccer,
,gfbll.com,Greater Fauquier Baseball Little League,false,,
,ghlniagara.com,GHL Niagara - Friendly Co-Ed Adult Hockey,false,Hockey,
,ghsboyslax.org,Guilford High School Boys Lacrosse,false,Lacrosse,
,gilberttigerlax.com,Higley Boys Lacrosse,false,,
,glastonburyfof.com,Glastonbury High School Tomahawks Football,false,
,girls.cincyroyals.com,Cincy Royals Lacrosse-Girls,false,Lacrosse,
,glastonburylittleleague.org,Glastonbury Little League,false,,
,go-magic.com,West Hartford Girls' Travel Basketball,false,Basketball,
,goavengers.org,error opening web page,
,goldbullions.net,error opening web page,
,goldenyouthbasketball.com,Golden Youth Basketball,false,Basketball,
,gonyfl.com,National Youth Football League,false,Football,
,goparkwood.org,Parkwood Athletic Booster Club,false,,
,grapevinewrestling.com,Grapevine Youth Wrestling,false,,
,greatbayvolleyball.com,603 United,false,,
,greaterherndonyouthfoundation.org,Greater Herndon Youth Foundation,false,,
